Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,5/26/2023,8,188.56
2,137,301,1/23/2023,10,216.6
3,216,261,5/27/2024,6,85.5
4,433,343,11/25/2023,7,301.21
5,14,431,7/26/2023,7,136.36
6,439,119,10/11/2024,5,249.4
7,195,467,10/23/2023,6,82.92
8,32,159,5/7/2024,4,144.84
9,109,407,1/4/2024,9,379.71
10,94,122,7/9/2024,4,123
11,131,206,10/16/2023,1,38.01
12,454,3,6/17/2024,2,31.5
13,420,180,6/8/2023,5,125.45
14,454,319,8/24/2023,2,85.22
15,127,479,1/10/2023,6,229.62
16,412,196,10/6/2023,8,53.52
17,462,481,3/20/2023,5,52.75
18,377,101,8/7/2024,4,193.96
19,496,60,11/17/2023,9,316.26
20,195,67,7/14/2023,1,10.23
21,356,287,12/5/2024,3,120.57
22,177,427,6/10/2024,3,54
23,119,301,8/4/2023,3,64.98
24,266,192,7/10/2023,3,145.11
25,265,250,5/25/2023,10,126.5
26,294,407,6/11/2023,1,42.19
27,310,156,12/3/2024,1,31.68
28,151,423,11/27/2024,8,205.04
29,305,446,10/5/2023,8,275.92
30,438,248,9/23/2023,6,281.94
31,386,279,3/12/2024,8,244
32,292,313,12/6/2024,4,188.64
33,478,253,4/15/2024,5,58.3
34,463,146,6/27/2024,3,43.5
35,303,172,7/8/2023,5,184.1
36,417,260,1/21/2024,9,446.31
37,110,411,12/27/2023,4,60.12
38,15,466,6/26/2023,4,148.68
39,488,422,8/3/2024,8,367.28
40,120,450,7/3/2024,2,91.5
41,418,147,5/5/2024,8,361.6
42,415,70,9/19/2023,3,70.35
43,199,305,3/25/2024,7,221.62
44,234,460,7/24/2024,5,179.4
45,470,67,11/16/2024,4,40.92
46,319,442,12/8/2023,1,48.48
47,6,360,7/23/2024,3,148.02
48,458,477,2/25/2024,5,138.55
49,322,336,8/14/2024,7,168.56
50,474,88,4/6/2024,1,40.22
51,155,491,9/1/2024,5,74.35
52,173,161,5/20/2024,7,151.2
53,160,242,1/2/2024,3,101.37
54,446,393,9/1/2024,3,132
55,18,281,1/11/2024,7,114.38
56,76,333,11/6/2024,5,138.8
57,24,34,12/2/2024,2,32.98
58,329,369,12/2/2024,7,158.55
59,225,188,2/11/2023,7,140.98
60,404,49,4/26/2023,9,445.5
61,405,361,7/2/2024,5,198.75
62,364,324,4/6/2024,5,230.4
63,16,469,4/13/2024,9,209.25
64,348,160,7/19/2024,10,344.8
65,54,198,5/6/2023,9,201.42
66,180,323,9/8/2023,8,286.64
67,260,129,4/20/2023,9,366.66
68,246,319,3/21/2023,10,426.1
69,261,109,3/23/2024,4,34.16
70,49,447,5/29/2023,6,217.5
71,500,438,6/11/2024,8,267.12
72,290,5,10/19/2024,1,10.95
73,411,81,10/7/2023,1,44.19
74,461,132,4/8/2023,10,204.6
75,291,375,11/30/2023,5,170.75
76,470,466,9/2/2024,10,371.7
77,497,242,3/20/2024,7,236.53
78,44,196,7/23/2024,5,33.45
79,134,28,10/6/2023,2,75.02
80,265,17,6/4/2023,8,42.96
81,383,325,2/13/2024,5,202
82,413,387,3/8/2023,5,237.1
83,457,335,1/16/2024,8,378.32
84,280,49,7/5/2024,6,297
85,75,31,3/14/2023,9,191.07
86,361,441,4/28/2024,3,122.16
87,167,435,7/11/2024,2,55.52
88,126,262,4/16/2023,5,105.1
89,305,113,8/6/2024,2,12.76
90,457,137,12/23/2023,6,157.98
91,226,142,10/13/2024,10,489.6
92,329,325,2/24/2023,5,202
93,366,427,10/23/2024,3,54
94,136,88,7/6/2024,6,241.32
95,447,426,10/26/2023,1,32.82
96,456,336,8/9/2023,8,192.64
97,408,221,7/15/2023,10,248.1
98,429,352,12/15/2023,1,6.01
99,166,250,4/20/2023,3,37.95
100,207,63,7/14/2023,1,22.38
101,154,344,1/9/2023,1,39.63
102,295,300,5/10/2023,9,241.83
103,103,21,2/7/2024,3,141.39
104,182,316,1/18/2024,9,79.29
105,125,306,12/20/2022,2,87.84
106,334,449,10/7/2023,3,120.51
107,10,330,10/20/2024,6,192.12
108,281,430,5/25/2024,6,71.4
109,486,368,11/19/2024,2,89.2
110,7,16,4/30/2023,1,10.07
111,174,450,8/25/2024,7,320.25
112,309,403,12/28/2022,2,30.02
113,80,255,2/18/2024,3,73.53
114,362,210,2/24/2024,3,122.79
115,321,136,9/23/2024,8,79.12
116,280,447,2/27/2024,5,181.25
117,385,52,1/24/2023,7,115.71
118,37,189,1/14/2023,3,40.95
119,328,148,9/24/2023,3,36.75
120,101,338,1/14/2023,1,10.17
121,27,63,3/28/2024,6,134.28
122,136,56,2/19/2023,6,47.22
123,495,437,3/10/2024,5,221.45
124,272,122,5/17/2024,10,307.5
125,196,43,6/5/2024,4,189.56
126,88,492,12/8/2023,2,88.14
127,267,295,8/24/2024,7,200.62
128,197,345,9/17/2024,6,155.34
129,364,388,8/2/2023,1,26.62
130,420,17,5/13/2023,1,5.37
131,16,1,5/27/2024,3,64.02
132,469,333,11/22/2023,7,194.32
133,232,458,3/13/2023,4,149.12
134,94,222,4/2/2023,7,207.13
135,174,99,1/24/2024,10,469.3
136,165,70,12/31/2023,4,93.8
137,474,471,11/25/2023,8,363.04
138,59,362,12/2/2023,3,88.29
139,189,26,5/31/2024,9,189.45
140,295,164,12/13/2022,1,41.83
141,107,352,5/5/2023,10,60.1
142,107,434,4/8/2024,2,91.16
143,443,201,10/4/2023,7,260.75
144,432,179,11/10/2024,2,96.42
145,340,477,9/10/2024,8,221.68
146,394,404,4/7/2024,4,62.6
